Word,Replaced Count
profit,38
project,12
prologue,19
promise,105
proof,80
proper,62
protector,2
protest,52
proud,194
prove,233
provided,27
public,55
purpose,203
purse,87
quality,55
quarrel,95
queen,189
question,148
quick,101
quiet,73
quite,72
quoth,62
raise,43
ransom,59
rascal,60
rather,290
readable,2
ready,125
realm,53
reason,279
receive,81
regard,41
reign,46
remain,59
remedy,59
remember,152
render,44
repair,38
repent,52
report,142
reputation,45
request,67
respect,100
return,224
revenge,130
reverence,44
revolt,41
right,325
rivers,11
rogue,79
rotten,36
rough,66
round,72
royal,205
sacred,46
safety,74
saint,25
satisfied,48
saying,50
scarce,67
scene,34
scorn,104
search,43
season,45
second,100
secret,65
seeing,42
senator,4
sense,124
sentence,39
servant,148
serve,184
service,221
seven,64
several,79
shadow,71
shake,91
shall,3128
shame,294
shape,87
sharp,67
shepherd,68
shine,43
shore,49
short,103
shortly,21
should,1428
shows,95
sickness,53
sight,200
silence,62
silver,65
simple,72
since,286
single,58
sirrah,77
sister,194
skill,51
slain,125
slander,50
slave,128
sleep,242
slender,10
small,85
smell,50
smile,69
soldier,149
solemn,38
something,152
sometime,59
sooner,60
soothsayer,3
sorrow,185
sorry,88
sought,35
souls,110
sound,172
sovereign,124
spare,48
speak,1005
speaks,20
special,38
speech,128
speed,112
spend,67
spirit,254
spite,59
spoke,137
sport,119
spring,57
staff,41
stain,62
stand,466
stars,68
state,305
steal,78
steel,69
steward,22
still,499
stomach,43
stone,65
stood,82
store,40
storm,52
story,67
straight,145
strange,241
street,79
strength,120
strike,116
stroke,40
strong,190
struck,73
study,60
stuff,63
subject,104
substance,41
success,44
sudden,78
suddenly,19
suffer,102
summer,89
supper,61
surely,35
suspect,35
swear,241
sweat,37
sweet,664
swift,67
sword,351
swore,50
sworn,132
table,60
tailor,35
taken,90
tarry,35
taste,75
taught,48
teach,91
tears,274
tedious,44
teeth,55
tells,40
tempest,42
tender,147
terms,74
thank,280
their,1935
themselves,158
there,1501
therefore,93
therein,12
these,1101
thief,68
thing,358
think,986
third,73
those,467
though,400
thought,243
thrive,56
throat,51
throne,67
through,192
throw,90
thrust,47
thunder,56
times,208
title,91
together,241
tongue,411
touch,156
toward,94
tower,11
train,124
traitor,131
tread,41
treason,22
treasure,53
trial,60
tribunes,27
trick,53
triumph,47
trouble,72
truly,124
trumpet,79
trust,156
truth,334
turns,47
twice,62
tyrant,58
uncle,191
under,208
understand,43
undertake,25
undone,52
unhappy,10
unknown,9
unless,64
until,41
unworthy,31
utter,41
valiant,149
valour,99
vantage,40
vengeance,152
version,1
victory,46
villain,229
violent,41
virtue,179
visit,50
voice,157
walls,84
warlike,57
warrant,175
waste,43
watch,135
water,148
wealth,72
weapons,40
weary,73
weeds,42
weeping,56
weight,44
welcome,273
wench,62
whence,18
where,684
wherein,15
whether,56
which,1418
while,177
whither,38
whole,120
whore,46
whose,383
widow,70
willing,36
window,48
wings,54
winter,67
wisdom,92
witch,43
withal,143
within,340
without,287
witness,108
wives,58
woman,416
wonder,116
works,23
world,678
worse,151
worship,104
worth,201
would,2027
wound,70
wounded,24
wrath,55
wretch,59
write,105
written,34
wrong,272
wrought,37
yield,128
yonder,59
young,406
yours,248
yourself,138
youth,275
